index,TID,breadcrumb,category_name,property_type,building_size,land_size,preferred_size,open_date,listing_agency,price,location_number,location_type,location_name,address,address_1,city,state,zip_code,phone,latitude,longitude,product_depth,bedroom_count,bathroom_count,parking_count,RunDate
10,1350998,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,,,,,Professionals - DARWIN CITY,"$280,000",139393067,Buy,"$280,000","12 51 Knuckey Street, Darwin City, NT 0800",12 51 Knuckey Street,Darwin City,NT,800,08 8941 8289,,,premiere,1.0,1.0,1.0,2022-05-27 15:54:05
11,1350999,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,,,,,Real Estate Central - DARWIN CITY,Openn Negotiation,139373983,Buy,Openn Negotiation,"1/6 Foelsche Street, Darwin City, NT 0800",1/6 Foelsche Street,Darwin City,NT,800,08 8943 3000,,,premiere,3.0,2.0,2.0,2022-05-27 15:54:05
12,1351000,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,173m²,,173m²,,Elders Real Estate - Darwin,"PRICE GUIDE $439,000",139363187,Buy,"PRICE GUIDE $439,000","16/14 Dashwood Place, Darwin City, NT 0800",16/14 Dashwood Place,Darwin City,NT,800,08 8946 0500,,,premiere,2.0,2.0,2.0,2022-05-27 15:54:05
13,1351001,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",House,236m²,,236m²,,Knight Frank (NT) - Darwin,"$775,000",139356543,Buy,"$775,000","406/130 Esplanade, Darwin City, NT 0800",406/130 Esplanade,Darwin City,NT,800,08 8982 2500,,,premiere,3.0,2.0,2.0,2022-05-27 15:54:05
14,1351002,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,181m²,,181m²,,Get Realty - PALMERSTON CITY,"$625,000",139349347,Buy,"$625,000","2403/43E Knuckey Street, Darwin City, NT 0800",2403/43E Knuckey Street,Darwin City,NT,800,0416175735,,,premiere,3.0,2.0,2.0,2022-05-27 15:54:05
15,1351003,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,,,,,Territory Real Estate - Darwin,"Overs Over $599,000 Considered",139339003,Buy,"Overs Over $599,000 Considered","111/19 Kitchener Drive, Darwin City, NT 0800",111/19 Kitchener Drive,Darwin City,NT,800,0889855678,,,premiere,2.0,2.0,2.0,2022-05-27 15:54:05
16,1351004,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,69m²,,69m²,,Knight Frank (NT) - Darwin,"$490,000",139336003,Buy,"$490,000","6604/7 Anchorage Court, Darwin City, NT 0800",6604/7 Anchorage Court,Darwin City,NT,800,08 8982 2500,,,premiere,1.0,1.0,1.0,2022-05-27 15:54:05
17,1351005,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,62m²,,62m²,,Nick Mousellis Real Estate - Eview Group Member,"$337,500",139319539,Buy,"$337,500","1706/43B Knuckey Street, Darwin City, NT 0800",1706/43B Knuckey Street,Darwin City,NT,800,0411724000,,,premiere,1.0,1.0,0.0,2022-05-27 15:54:05
18,1351006,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,,,,,Elders Real Estate - Darwin,FASTRAK,139319111,Buy,FASTRAK,"63/21 Cavenagh Street, Darwin City, NT 0800",63/21 Cavenagh Street,Darwin City,NT,800,08 8946 0500,,,premiere,1.0,1.0,0.0,2022-05-27 15:54:05
19,1351007,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",House,138m²,,138m²,,Call2View Real Estate - Palmerston,"$439,000",139318927,Buy,"$439,000","24/8 Knuckey Street, Darwin City, NT 0800",24/8 Knuckey Street,Darwin City,NT,800,08 8932 8858,,,premiere,2.0,2.0,1.0,2022-05-27 15:54:05
20,1351008,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,,,,Under offer,Real Estate Central Projects - Darwin,UNDER CONTRACT,139313595,Buy,UNDER CONTRACT,"8/12 Dashwood Place, Darwin City, NT 0800",8/12 Dashwood Place,Darwin City,NT,800,08 8943 3000,,,premiere,3.0,2.0,2.0,2022-05-27 15:54:05
21,1351009,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,155m²,,155m²,,All Real Estate NT,"Offers Over $440,000",139312507,Buy,"Offers Over $440,000","2/24 Harry Chan Avenue, Darwin City, NT 0800",2/24 Harry Chan Avenue,Darwin City,NT,800,0419 592 414,,,midtier,2.0,2.0,2.0,2022-05-27 15:54:05
22,1351010,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,114m²,,114m²,,Professionals - DARWIN CITY,"$640,000",139299807,Buy,"$640,000","116/19B Kitchener Drive, Darwin City, NT 0800",116/19B Kitchener Drive,Darwin City,NT,800,08 8941 8289,,,premiere,2.0,2.0,2.0,2022-05-27 15:54:05
23,1351011,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,,93m²,,,Knight Frank (NT) - Darwin,"$500,000",139287567,Buy,"$500,000","126/19 Kitchener Drive, Darwin City, NT 0800",126/19 Kitchener Drive,Darwin City,NT,800,08 8982 2500,,,premiere,1.0,1.0,1.0,2022-05-27 15:54:05
24,1351012,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,,53m²,53m²,,Absolute Real Estate NT - Darwin,"$305,000 +",139278451,Buy,"$305,000 +","613/6 Carey Street, Darwin City, NT 0800",613/6 Carey Street,Darwin City,NT,800,08 8930 6600,,,premiere,1.0,1.0,1.0,2022-05-27 15:54:05
25,1351013,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,,,,,Absolute Real Estate NT - Darwin,"$295,000 +",139278075,Buy,"$295,000 +","313/6 Carey Street, Darwin City, NT 0800",313/6 Carey Street,Darwin City,NT,800,08 8930 6600,,,premiere,1.0,1.0,1.0,2022-05-27 15:54:05
26,1351014,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,340m²,340m²,340m²,Under offer,Colliers International - Darwin,"$795,000",139277147,Buy,"$795,000","35/24 Harry Chan Avenue, Darwin City, NT 0800",35/24 Harry Chan Avenue,Darwin City,NT,800,08 8997 0888,,,premiere,3.0,3.0,4.0,2022-05-27 15:54:05
27,1351015,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,,236m²,236m²,,Core Realty NT - RAPID CREEK,"Offers Over $950,000",139267215,Buy,"Offers Over $950,000","424/130 Esplanade, Darwin City, NT 0800",424/130 Esplanade,Darwin City,NT,800,0450 473 710,,,premiere,3.0,2.0,2.0,2022-05-27 15:54:05
28,1351016,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",House,,,,,Ray White - NIGHTCLIFF,"Offers Over $485,000",139233515,Buy,"Offers Over $485,000","1109/102 Esplanade, Darwin City, NT 0800",1109/102 Esplanade,Darwin City,NT,800,08 8982 2403,,,premiere,2.0,2.0,2.0,2022-05-27 15:54:05
29,1351017,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,51m²,,51m²,,Property Shop - Darwin,"$250,000",131091530,Buy,"$250,000","Unit 55/79 Mitchell Street, Darwin City, NT 0800",Unit 55/79 Mitchell Street,Darwin City,NT,800,08 8981 5000,,,premiere,1.0,1.0,1.0,2022-05-27 15:54:05
30,1351018,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,,,,,Darwin Residential and Commercial Real Estate Pty Ltd - CASUARINA,"$549,000",139203271,Buy,"$549,000","1006/102 Esplanade, Darwin City, NT 0800",1006/102 Esplanade,Darwin City,NT,800,08 8945 9372,,,premiere,2.0,2.0,2.0,2022-05-27 15:54:05
31,1351019,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,48m²,,48m²,,Knight Frank (NT) - Darwin,"Offers over $299,000",139202891,Buy,"Offers over $299,000","18/110 Esplanade, Darwin City, NT 0800",18/110 Esplanade,Darwin City,NT,800,08 8982 2500,,,premiere,1.0,1.0,1.0,2022-05-27 15:54:05
32,1351020,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,,146m²,,,Elaine Mills Property Management - COOLALINGA,"$395,000",139201043,Buy,"$395,000","122.21 Cavenagh St, Darwin City, NT 0800",122.21 Cavenagh St,Darwin City,NT,800,08 8983 1800,,,premiere,3.0,1.0,1.0,2022-05-27 15:54:05
33,1351021,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,,,,,Raine & Horne - Darwin,UNDER CONTRACT,139196447,Buy,UNDER CONTRACT,"131/21 Cavenagh Street, Darwin City, NT 0800",131/21 Cavenagh Street,Darwin City,NT,800,08 8941 8941,,,premiere,1.0,1.0,1.0,2022-05-27 15:54:05
34,1351022,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,,127m²,127m²,Under offer,LJ Hooker Darwin -   ,"$475,000",139195495,Buy,"$475,000","11/12 Mclachlan Street, Darwin City, NT 0800",11/12 Mclachlan Street,Darwin City,NT,800,08 8924 0900,,,premiere,2.0,2.0,2.0,2022-05-27 15:54:05
35,1351023,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,140m²,,140m²,,Top End Realty International - NIGHTCLIFF,Contact Agent,139179627,Buy,Contact Agent,"702/29 Daly Street, Darwin City, NT 0800",702/29 Daly Street,Darwin City,NT,800,08 8948 5607,,,premiere,2.0,2.0,2.0,2022-05-27 15:54:05
36,1351024,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",House,,,,,Professionals - DARWIN CITY,OFFERS INVITED,139179851,Buy,OFFERS INVITED,"9 117 Mitchell Street, Darwin City, NT 0800",9 117 Mitchell Street,Darwin City,NT,800,08 8941 8289,,,premiere,2.0,2.0,2.0,2022-05-27 15:54:05
37,1351025,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,81m²,,81m²,,Knight Frank (NT) - Darwin,"$465,000",139167095,Buy,"$465,000","5102/5 Anchorage Court, Darwin City, NT 0800",5102/5 Anchorage Court,Darwin City,NT,800,08 8982 2500,,,premiere,1.0,1.0,1.0,2022-05-27 15:54:05
38,1351026,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,,,,,Real Estate Central Projects - Darwin,"Current Bid $600,000",139131591,Buy,"Current Bid $600,000","501/102 Esplanade, Darwin City, NT 0800",501/102 Esplanade,Darwin City,NT,800,08 8943 3000,,,premiere,3.0,2.0,2.0,2022-05-27 15:54:05
39,1351027,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,235m²,,235m²,,Knight Frank (NT) - Darwin,"Offers Over $980,000",139128107,Buy,"Offers Over $980,000","326/130 Esplanade, Darwin City, NT 0800",326/130 Esplanade,Darwin City,NT,800,08 8982 2500,,,premiere,3.0,2.0,2.0,2022-05-27 15:54:05
40,1351028,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,,241m²,,,First National Real Estate O'Donoghues - Darwin,"$1,050,000",139127399,Buy,"$1,050,000","221/130 Esplanade, Darwin City, NT 0800",221/130 Esplanade,Darwin City,NT,800,08 8942 8942,,,premiere,3.0,2.0,2.0,2022-05-27 15:54:05
41,1351029,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,,181m²,,Under offer,Pacific Property Darwin,UNDER CONTRACT... MORE PROPERTIES WANTED,139110247,Buy,UNDER CONTRACT... MORE PROPERTIES WANTED,"1/2 Lindsay Street, Darwin City, NT 0800",1/2 Lindsay Street,Darwin City,NT,800,0433038633,,,premiere,3.0,2.0,2.0,2022-05-27 15:54:05
42,1351030,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",House,81m²,81m²,81m²,,Ray White City (NT) -    ,"$450,000",139095611,Buy,"$450,000","6607/7 Anchorage Court, Darwin City, NT 0800",6607/7 Anchorage Court,Darwin City,NT,800,08 8943 3500,,,premiere,1.0,1.0,1.0,2022-05-27 15:54:05
43,1351031,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,,,,,Real Estate Central - DARWIN CITY,"$749,000",139091675,Buy,"$749,000","17/9 Esplanade, Darwin City, NT 0800",17/9 Esplanade,Darwin City,NT,800,08 8943 3000,,,premiere,3.0,2.0,2.0,2022-05-27 15:54:05
44,1351032,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,,238m²,,,All About Real Estate NT - DARWIN CITY,UNDER CONTRACT,139072451,Buy,UNDER CONTRACT,"103/130 Esplanade, Darwin City, NT 0800",103/130 Esplanade,Darwin City,NT,800,0438 404 848,,,premiere,3.0,3.0,2.0,2022-05-27 15:54:05
45,1351033,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,,,,,Real Estate NT by George Pikos - FANNIE BAY,"$289,000",139050507,Buy,"$289,000","302/6 Briggs St, Darwin City, NT 0800",302/6 Briggs St,Darwin City,NT,800,08 8941 9959,,,premiere,1.0,1.0,1.0,2022-05-27 15:54:05
46,1351034,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,,,,,Ausway Group,"$490,000",139047935,Buy,"$490,000","14/130 Smith street, Darwin City, NT 0800",14/130 Smith street,Darwin City,NT,800,0451125286,,,premiere,2.0,2.0,2.0,2022-05-27 15:54:05
47,1351035,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,,,,Under offer,Real Estate Central - DARWIN CITY,UNDER CONTRACT,139036599,Buy,UNDER CONTRACT,"5/44 Mclachlan Street, Darwin City, NT 0800",5/44 Mclachlan Street,Darwin City,NT,800,08 8943 3000,,,premiere,3.0,2.0,2.0,2022-05-27 15:54:05
48,1351036,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,,,,,Habitat Real Estate - THE GARDENS,"Offers over $565,000",139027019,Buy,"Offers over $565,000","703/29 Daly Street, Darwin City, NT 0800",703/29 Daly Street,Darwin City,NT,800,08 8981 0080,,,premiere,2.0,2.0,2.0,2022-05-27 15:54:05
49,1351037,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,130m²,,130m²,,Call2View Real Estate - Palmerston,"$399,000",139024171,Buy,"$399,000","10/24 Harvey Street, Darwin City, NT 0800",10/24 Harvey Street,Darwin City,NT,800,08 8932 8858,,,premiere,2.0,2.0,2.0,2022-05-27 15:54:05
50,1351038,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,,192m²,,,First National Real Estate O'Donoghues - Darwin,"Offers over $469,000",139023195,Buy,"Offers over $469,000","3/107 Woods Street, Darwin City, NT 0800",3/107 Woods Street,Darwin City,NT,800,08 8942 8942,,,premiere,3.0,2.0,2.0,2022-05-27 15:54:05
51,1351039,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,,253m²,,,First National Real Estate O'Donoghues - Darwin,"$649,000",139012015,Buy,"$649,000","10/3 Harvey Street, Darwin City, NT 0800",10/3 Harvey Street,Darwin City,NT,800,08 8942 8942,,,premiere,4.0,2.0,2.0,2022-05-27 15:54:05
52,1351040,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,,,,Under offer,Territory Real Estate - Darwin,"Offers Over $499,000 Considered",138985619,Buy,"Offers Over $499,000 Considered","313b/19 Kitchener Drive, Darwin City, NT 0800",313b/19 Kitchener Drive,Darwin City,NT,800,0889855678,,,feature,1.0,1.0,1.0,2022-05-27 15:54:05
53,1351041,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,,,,,Professionals - DARWIN CITY,"$400,000",138982163,Buy,"$400,000","205/12 Harvey Street, Darwin City, NT 0800",205/12 Harvey Street,Darwin City,NT,800,08 8941 8289,,,premiere,2.0,2.0,1.0,2022-05-27 15:54:05
54,1351042,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,,260m²,,,First National Real Estate O'Donoghues - Darwin,"Offers Over $800,000",138965203,Buy,"Offers Over $800,000","13/99 Gardens Road, Darwin City, NT 0800",13/99 Gardens Road,Darwin City,NT,800,08 8942 8942,,,premiere,3.0,2.0,2.0,2022-05-27 15:54:05
55,1351043,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,93m²,,93m²,Under offer,Raine & Horne - Darwin,UNDER CONTRACT,138959991,Buy,UNDER CONTRACT,"23(805)/24 Litchfield Street, Darwin City, NT 0800",23(805)/24 Litchfield Street,Darwin City,NT,800,08 8941 8941,,,premiere,1.0,1.0,1.0,2022-05-27 15:54:05
56,1351044,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,53m²,,53m²,,Renee's Realty NT - DURACK,"$299,000",138947235,Buy,"$299,000","512/6 Carey Street, Darwin City, NT 0800",512/6 Carey Street,Darwin City,NT,800,0417 718 149,,,premiere,1.0,1.0,1.0,2022-05-27 15:54:05
57,1351045,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,,74m²,74m²,,Property Now - MOOLOOLABA,"$580,000",138918695,Buy,"$580,000","19 KITCHENER DRIVE, Darwin City, NT 0800",19 KITCHENER DRIVE,Darwin City,NT,800,1300 815 051 ,,,standard,1.0,1.0,1.0,2022-05-27 15:54:05
58,1351046,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,138m²,,138m²,,Raine & Horne - Darwin,"Offers Over $375,000",138917719,Buy,"Offers Over $375,000","21/24 Harvey Street, Darwin City, NT 0800",21/24 Harvey Street,Darwin City,NT,800,08 8941 8941,,,premiere,2.0,2.0,2.0,2022-05-27 15:54:05
59,1351047,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,,,,,North Property NT - STUART PARK,"$489,000",138898599,Buy,"$489,000","803/24 Litchfield Street, Darwin City, NT 0800",803/24 Litchfield Street,Darwin City,NT,800,08 898 11088 ,,,feature,2.0,2.0,1.0,2022-05-27 15:54:05
60,1351048,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,,52m²,52m²,,Elders Real Estate - Darwin,"OFFERS OVER $195,000",138882163,Buy,"OFFERS OVER $195,000","38/117 Smith Street, Darwin City, NT 0800",38/117 Smith Street,Darwin City,NT,800,08 8946 0500,,,premiere,1.0,1.0,1.0,2022-05-27 15:54:05
61,1351049,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,,101m²,,,LJ Hooker Darwin -   ,"$505,000",138876263,Buy,"$505,000","708/102 Esplanade, Darwin City, NT 0800",708/102 Esplanade,Darwin City,NT,800,08 8924 0900,,,premiere,2.0,2.0,2.0,2022-05-27 15:54:05
62,1351050,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,,,,,Ausway Group,"$325,000",138865099,Buy,"$325,000","1004/3  Gardiner street, Darwin City, NT 0800",1004/3  Gardiner street,Darwin City,NT,800,0451125286,,,feature,2.0,2.0,2.0,2022-05-27 15:54:05
63,1351051,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,,,,,No Agent Property - BRIGHTON EAST,"$539,000 negotiable",138863175,Buy,"$539,000 negotiable","1411/33 Woods Street, Darwin City, NT 0800",1411/33 Woods Street,Darwin City,NT,800,1300 850 855,,,standard,2.0,2.0,1.0,2022-05-27 15:54:05
64,1351052,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,,,,,Piening Property Sales - COOLALINGA,"$180,000",138861435,Buy,"$180,000","106/21 Cavenagh Street, Darwin City, NT 0800",106/21 Cavenagh Street,Darwin City,NT,800,0429826650,,,feature,1.0,1.0,0.0,2022-05-27 15:54:05
65,1351053,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,198m²,,198m²,Under offer,Raine & Horne - Darwin,UNDER CONTRACT,138830959,Buy,UNDER CONTRACT,"36/96 Woods Street, Darwin City, NT 0800",36/96 Woods Street,Darwin City,NT,800,08 8941 8941,,,premiere,3.0,2.0,2.0,2022-05-27 15:54:05
66,1351054,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,33m²,,33m²,,Property Now - MOOLOOLABA,"$145,000",138798511,Buy,"$145,000","UNIT 51/21 CAVENAGH STREET, Darwin City, NT 0800",UNIT 51/21 CAVENAGH STREET,Darwin City,NT,800,1300 815 051 ,,,standard,1.0,1.0,0.0,2022-05-27 15:54:05
67,1351055,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,,,,,Ausway Group,"$215,000",138784347,Buy,"$215,000","309/3  Gardiner street, Darwin City, NT 0800",309/3  Gardiner street,Darwin City,NT,800,0451125286,,,feature,1.0,1.0,1.0,2022-05-27 15:54:05
68,1351056,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,,,,,@realty - National Head Office Australia,"$450,000",138760927,Buy,"$450,000","607/31 Woods Street, Darwin City, NT 0800",607/31 Woods Street,Darwin City,NT,800,1300 299 377,,,standard,2.0,2.0,1.0,2022-05-27 15:54:05
69,1351057,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,255m²,,255m²,,David Booth Real Estate Pty Ltd - Darwin,"$865,000",138754883,Buy,"$865,000","181/8 Gardiner Street, Darwin City, NT 0800",181/8 Gardiner Street,Darwin City,NT,800,0418 892 861,,,standard,3.0,2.0,2.0,2022-05-27 15:54:05
70,1351058,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,,120m²,,,Elders Real Estate - Darwin,"$400,000",138748811,Buy,"$400,000","11/27 McMinn Street, Darwin City, NT 0800",11/27 McMinn Street,Darwin City,NT,800,08 8946 0500,,,premiere,2.0,2.0,1.0,2022-05-27 15:54:05
71,1351059,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Unit,,154m²,154m²,,LJ Hooker Darwin -   ,"$369,000",138732019,Buy,"$369,000","15/4 McMinn Street, Darwin City, NT 0800",15/4 McMinn Street,Darwin City,NT,800,08 8924 0900,,,premiere,2.0,2.0,2.0,2022-05-27 15:54:05
72,1351060,Buy>NT>DARWIN CITY,"Real Estate & Property for sale in DARWIN CITY, NT 0800",Apartment,66m²,,66m²,,Knight Frank (NT) - Darwin,"$350,000",138713867,Buy,"$350,000","610/79 Smith Street, Darwin City, NT 0800",610/79 Smith Street,Darwin City,NT,800,08 8982 2500,,,feature,1.0,1.0,1.0,2022-05-27 15:54:05
